Target Index,TimeOfDay,MaxSpeed,Traffic Amount,Keep Lane,Weather,Ultrasound,Damage,Distance,Label(Ultra),Label(Damage),Label(Distance)
0,0.56,30,4,0,6,9999.900391,-5291.116943,-478.0890393,1,1,1
0,0.56,30,4,0,6,3.758131981,-17596.02148,-537.8134918,0,0,1
0,0.56,30,4,0,6,9999.900391,-3335.0802,-481.2171208,1,1,1
0,0.56,30,4,0,6,9999.900391,-12974.35107,-556.3913256,1,0,1
0,0.56,30,4,0,6,9999.900391,-2331.561401,-479.8475492,1,1,1
0,0.56,30,4,0,6,9999.900391,-14438.93848,-669.4253375,1,0,1
0,0.56,30,4,0,6,9999.900391,-2563.541565,-487.7492266,1,1,1
0,0.61,49,3,1,1,9999.900391,-21456.16016,-558.5256697,1,0,1
0,0.61,49,3,1,1,1.897901058,-25217.32031,-557.5903651,0,0,1
0,0.61,49,3,1,1,9999.900391,-17484.21875,-574.4145331,1,0,1
0,0.61,49,3,1,1,9999.900391,-17379.17188,-594.5506384,1,0,1
0,0.61,49,3,1,1,9999.900391,-20625.00195,-554.5133905,1,0,1
0,0.61,49,3,1,1,9999.900391,-17293.04785,-596.0100589,1,0,1
0,0.61,49,3,1,1,9999.900391,-17591.11426,-607.0533591,1,0,1
0,0.61,49,3,1,1,1.608758211,-26412.75,-668.3047445,0,0,1
0,0.61,49,3,1,1,2.914797306,-17117.08057,-580.5083164,0,0,1
0,0.61,49,3,1,1,9999.900391,-17571.57324,-559.0491307,1,0,1
0,0.76,20,8,0,6,9999.900391,-31.51516724,-513.0111005,1,1,1
0,0.76,20,8,0,6,9999.900391,-27.05925941,-511.8406607,1,1,1
0,0.76,20,8,0,6,9999.900391,-80.04878235,-510.6678377,1,1,1
0,0.76,20,8,0,6,9999.900391,-0.014680146,-509.799561,1,1,1
0,0.76,20,8,0,6,9999.900391,-9697.227051,-671.4345423,1,1,1
0,0.76,20,8,0,6,9999.900391,-8181.865234,-658.5346495,1,1,1
0,0.76,20,8,0,6,9999.900391,-19876.05566,-555.0347621,1,0,1
0,0.76,20,8,0,6,4.81735611,-8288.067383,-619.6024314,0,1,1
0,0.76,20,8,0,6,9999.900391,-1.833873868,-509.5816434,1,1,1
0,0.76,20,8,0,6,9999.900391,-57.3898735,-511.2833466,1,1,1
0,0.87,24,0,0,2,9999.900391,-1.974264026,-488.3738345,1,1,1
0,0.87,24,0,0,2,9999.900391,-2.007713556,-488.7708788,1,1,1
0,0.87,24,0,0,2,9999.900391,-1.993250132,-488.8977575,1,1,1
0,0.87,24,0,0,2,9999.900391,-1.972130418,-488.617256,1,1,1
0,0.87,24,0,0,2,9999.900391,-1.963384271,-489.1346296,1,1,1
0,0.87,24,0,0,2,9999.900391,-2.012435675,-488.8126234,1,1,1
0,0.87,24,0,0,2,9999.900391,-1.999666095,-488.140856,1,1,1
0,0.87,24,0,0,2,9999.900391,-1.965685844,-488.9947512,1,1,1
0,0.87,24,0,0,2,9999.900391,-1.998641491,-488.5243398,1,1,1
0,0.87,24,0,0,2,9999.900391,-1.99630475,-488.6269957,1,1,1
0,0.87,29,1,1,1,9999.900391,-1105.034775,-498.9139647,1,1,1
0,0.87,29,1,1,1,9999.900391,-1106.543335,-498.0705251,1,1,1
0,0.87,29,1,1,1,9999.900391,-1104.780922,-498.2169276,1,1,1
0,0.87,29,1,1,1,9999.900391,-1103.43808,-497.4917324,1,1,1
0,0.87,29,1,1,1,9999.900391,-1105.133026,-499.2768736,1,1,1
0,0.87,29,1,1,1,9999.900391,-1108.330345,-496.9647435,1,1,1
0,0.87,29,1,1,1,9999.900391,-2167.212799,-499.2769181,1,1,1
0,0.87,29,1,1,1,9999.900391,-1108.77887,-499.1334506,1,1,1
0,0.87,29,1,1,1,9999.900391,-1106.374763,-496.7553027,1,1,1
0,0.87,29,1,1,1,9999.900391,-1104.95256,-498.6893868,1,1,1
0,0.88,33,0,0,2,9999.900391,-2187.856079,-475.5092105,1,1,1
0,0.88,33,0,0,2,9999.900391,-1161.987442,-475.5962928,1,1,1
0,0.88,33,0,0,2,9999.900391,-1172.144867,-474.5119459,1,1,1
0,0.88,33,0,0,2,9999.900391,-1176.537292,-476.1452211,1,1,1
0,0.88,33,0,0,2,9999.900391,-1176.880005,-475.5015388,1,1,1
0,0.88,33,0,0,2,9999.900391,-2241.345886,-475.9877634,1,1,1
0,0.88,33,0,0,2,9999.900391,-2237.414505,-474.0239856,1,1,1
0,0.88,33,0,0,2,9999.900391,-1164.234787,-469.9575949,1,1,1
0,0.88,33,0,0,2,9999.900391,-1166.760132,-471.6068022,1,1,1
0,0.88,33,0,0,2,9999.900391,-1175.348373,-474.2236834,1,1,1
0,0.91,32,4,0,3,9999.900391,-1166.808548,-473.5133977,1,1,1
0,0.91,32,4,0,3,9999.900391,-2317.576141,-472.423003,1,1,1
0,0.91,32,4,0,3,4.711043835,-26283.26953,-550.3303819,0,0,1
0,0.91,32,4,0,3,9999.900391,-19655.17188,-552.7571575,1,0,1
0,0.91,32,4,0,3,9999.900391,-1182.702316,-474.2717644,1,1,1
0,0.91,32,4,0,3,9999.900391,-14233.89551,-621.0645214,1,0,1
0,0.91,32,4,0,3,4.763644218,-20102.39648,-546.4475647,0,0,1
0,0.91,32,4,0,3,9999.900391,-17436.32129,-494.6583066,1,0,1
0,0.91,32,4,0,3,9999.900391,-6431.015869,-547.61159,1,1,1
0,0.91,32,4,0,3,9999.900391,-3360.547241,-474.1485519,1,1,1
0,0.94,21,1,1,6,9999.900391,-0.053477656,-531.7211082,1,1,1
0,0.94,21,1,1,6,9999.900391,-0.062010523,-533.6881761,1,1,1
0,0.94,21,1,1,6,9999.900391,-0.062099196,-534.3320145,1,1,1
0,0.94,21,1,1,6,9999.900391,-0.058855575,-532.6664524,1,1,1
0,0.94,21,1,1,6,9999.900391,-0.060770378,-534.9810425,1,1,1
0,0.94,21,1,1,6,9999.900391,-0.060876779,-533.7754008,1,1,1
0,0.94,21,1,1,6,9999.900391,-0.058647119,-532.9596966,1,1,1
0,0.94,21,1,1,6,9999.900391,-0.062242076,-532.0342596,1,1,1
0,0.94,21,1,1,6,9999.900391,-0.062943868,-529.3497993,1,1,1
0,0.94,21,1,1,6,9999.900391,-0.058650885,-530.3455715,1,1,1
0,0.94,38,3,0,5,9999.900391,-1167.09877,-474.0418528,1,1,1
0,0.94,38,3,0,5,9999.900391,-20290.17578,-508.8530561,1,0,1
0,0.94,38,3,0,5,9999.900391,-16524.60742,-519.2208349,1,0,1
0,0.94,38,3,0,5,9999.900391,-19310.46582,-555.8455196,1,0,1
0,0.94,38,3,0,5,9999.900391,-5247.85675,-476.0987473,1,1,1
0,0.94,38,3,0,5,9999.900391,-2276.468903,-473.895526,1,1,1
0,0.94,38,3,0,5,9999.900391,-1176.361221,-474.9700542,1,1,1
0,0.94,38,3,0,5,9999.900391,-2329.292358,-474.1207042,1,1,1
0,0.94,38,3,0,5,9999.900391,-7601.032471,-492.6519043,1,1,1
0,0.94,38,3,0,5,9999.900391,-2587.368469,-475.5347291,1,1,1
0,0.95,46,4,1,3,9999.900391,-2031.78479,-802.3122558,1,1,0
0,0.95,46,4,1,3,1.085154176,-29408.8125,-563.7420257,0,0,1
0,0.95,46,4,1,3,9999.900391,-31300.56836,-517.3472434,1,0,1
0,0.95,46,4,1,3,9999.900391,-2175.499908,-497.1514272,1,1,1
0,0.95,46,4,1,3,9999.900391,-25425.15039,-560.1396831,1,0,1
0,0.95,46,4,1,3,9999.900391,-21938.75977,-558.7432765,1,0,1
0,0.95,46,4,1,3,1.003487945,-28166.30273,-575.1827026,0,0,1
0,0.95,46,4,1,3,2.452792645,-25166.3457,-555.8534714,0,0,1
0,0.95,46,4,1,3,2.671563148,-18039.50586,-612.0274654,0,0,1
0,0.95,46,4,1,3,9999.900391,-1106.282349,-497.3182645,1,1,1
0,0.99,26,8,1,6,1.65540731,-17247.78418,-570.1817601,0,0,1
0,0.99,26,8,1,6,2.366818428,-16946.52832,-660.6011476,0,0,1
0,0.99,26,8,1,6,2.01460886,-18865.90625,-559.5849229,0,0,1
0,0.99,26,8,1,6,4.960582256,-39403.11719,-576.8084606,0,0,1
0,0.99,26,8,1,6,2.678062677,-30253.21094,-563.2475146,0,0,1
0,0.99,26,8,1,6,2.206586838,-16958.09717,-614.1239436,0,0,1
